genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00225			45873	47369	-	1497		ATPase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00230			47592	49460	+	1869	trkD	potassium transport protein Kup						
37762.5	Escherichia coli B	CP014268	RefSeq	pseudogene		C2566_00235			49627	49818	+	192								
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00235			49627	49818	+	192		D-ribose pyranase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00240			49844	50695	-	852		integrase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00245			50692	51213	-	522		DNA-binding protein						
37762.5	Escherichia coli B	CP014268	RefSeq	pseudogene		C2566_00250			51256	51492	+	237								
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00250			51256	51492	+	237		D-ribose pyranase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00255			51500	53005	+	1506		ribose ABC transporter ATP-binding protein RbsA						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00260			53010	53975	+	966	rbsC	ribose ABC transporter permease						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00265			54000	54890	+	891		D-ribose ABC transporter substrate-binding protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00270			55016	55945	+	930		ribokinase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00275			55958	56941	+	984		transcriptional regulator						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00280			56907	58334	-	1428		MFS transporter						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00285			58357	59049	-	693		GntR family transcriptional regulator						
37762.5	Escherichia coli B	CP014268	RefSeq	rRNA		C2566_00290			59528	61083	+	1556		16S ribosomal RNA						
37762.5	Escherichia coli B	CP014268	RefSeq	tRNA		C2566_00295			61157	61232	+	76		tRNA-Glu						
37762.5	Escherichia coli B	CP014268	RefSeq	rRNA		C2566_00300			61408	64339	+	2932		23S ribosomal RNA						
37762.5	Escherichia coli B	CP014268	RefSeq	rRNA		C2566_00305			64417	64532	+	116	rrf	5S ribosomal RNA						
37762.5	Escherichia coli B	CP014268	RefSeq	tRNA		C2566_00310			64587	64663	+	77		tRNA-Asp						
37762.5	Escherichia coli B	CP014268	RefSeq	tRNA		C2566_00315			64672	64747	+	76		tRNA-Trp						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00320			64843	65682	-	840		transcriptional regulator HdfR						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00325			65801	66139	+	339		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00330			66164	67684	-	1521		ATP-dependent protease						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00335			68037	68135	+	99		acetolactate synthase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00340			68275	69921	+	1647		acetolactate synthase catalytic subunit						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00345			69918	70181	+	264	ilvM	acetolactate synthase 2 regulatory subunit						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00350			70201	71130	+	930		branched chain amino acid aminotransferase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00355			71195	73045	+	1851		dihydroxy-acid dehydratase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00360			73045	74592	+	1548		threonine dehydratase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00365			74644	75537	-	894		transcriptional regulator						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00370			75687	77162	+	1476		ketol-acid reductoisomerase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00375			77249	77530	-	282		peptidylprolyl isomerase						
37762.5	Escherichia coli B	CP014268	RefSeq	pseudogene		C2566_00380			77729	78177	-	449								
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00380			77729	78177	-	449		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00385			78394	80415	+	2022		ATP-dependent DNA helicase Rep						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00390			80462	81946	-	1485		exopolyphosphatase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00395			82080	83345	-	1266		ATP-dependent RNA helicase RhlB						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00400			83476	83805	+	330	trxA	thioredoxin						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00405			83946	84047	+	102		rho operon leader peptide						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00410			84132	85391	+	1260	rho	transcription termination factor Rho						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00415			85401	85619	+	219		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00420			85631	86734	+	1104		UDP-phosphate N-acetylglucosaminyl 1-phosphate transferase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00425			86746	87792	+	1047		lipopolysaccharide biosynthesis protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00430			87848	88978	+	1131		UDP-N-acetyl glucosamine 2-epimerase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00435			88975	90237	+	1263	wecC	UDP-N-acetyl-D-mannosamine dehydrogenase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00440			90237	91304	+	1068		dTDP-glucose 4,6-dehydratase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00445			91323	92204	+	882		glucose-1-phosphate thymidylyltransferase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00450			92182	92856	+	675		TDP-fucosamine acetyltransferase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00455			92861	93991	+	1131		dTDP-4-amino-4,6-dideoxygalactose transaminase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00460			93993	95243	+	1251		O-antigen translocase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00465			95240	96319	+	1080		4-alpha-L-fucosyltransferase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00470			96316	97668	+	1353		enterobacterial common antigen polymerase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00475			97671	98411	+	741		UDP-N-acetyl-D-mannosaminuronic acid transferase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00480			98602	99987	+	1386		D-alanine/D-serine/glycine permease						
37762.5	Escherichia coli B	CP014268	RefSeq	tRNA		C2566_00485			100090	100166	+	77		tRNA-Arg						
37762.5	Escherichia coli B	CP014268	RefSeq	tRNA		C2566_00490			100225	100300	+	76		tRNA-His						
37762.5	Escherichia coli B	CP014268	RefSeq	tRNA		C2566_00495			100321	100407	+	87		tRNA-Leu						
37762.5	Escherichia coli B	CP014268	RefSeq	tRNA		C2566_00500			100450	100526	+	77		tRNA-Pro						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00505			100673	101908	+	1236		anaerobic sulfatase maturase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00510			102066	103721	-	1656		arylsulfatase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00515			104407	105603	-	1197		protoheme IX biogenesis protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00520			105606	106811	-	1206		uroporphyrinogen-III C-methyltransferase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00525			106833	107573	-	741	hemD	uroporphyrinogen-III synthase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00530			107570	108511	-	942	hemC	porphobilinogen deaminase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00535			108898	111444	+	2547	cyaA	adenylate cyclase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00540			111484	111804	-	321	cyaY	iron donor protein CyaY						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00545			112274	112477	+	204		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00550			112514	113338	+	825	dapF	diaminopimelate epimerase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00555			113335	114042	+	708		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00560			114039	114935	+	897	xerC	recombinase XerC						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00565			114935	115651	+	717		flavin mononucleotide phosphatase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00570			115735	117897	+	2163	uvrD	DNA helicase II						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00575			117952	118854	-	903		acetolactate synthase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00580			118937	119701	-	765		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00585			119714	119827	+	114		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00590			120071	121021	+	951		magnesium transporter CorA						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00595			121063	121554	-	492		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00600			121551	122399	-	849		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00605			122531	122728	+	198		magnesium transporter CorA						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00610			122769	123149	-	381		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	pseudogene		C2566_00615			123163	123543	-	381								
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00615			123163	123543	-	381		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00620			123638	124528	-	891		chemotaxis protein CheD						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00625			124580	125047	-	468		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00630			125212	126081	+	870		phospholipase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00635			126206	128035	+	1830		ATP-dependent DNA helicase RecQ						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00640			128099	128719	+	621		threonine transporter						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00645			128781	129401	-	621	rhtB	homoserine/homoserine lactone efflux protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00650			129512	130534	+	1023		lysophospholipase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00655			130542	131342	+	801		hydrolase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00660			131418	132317	+	900		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00665			132205	133158	-	954		transcriptional regulator						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00670			133395	135656	+	2262		5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00675			135750	136646	-	897		LysR family transcriptional regulator						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00680			136724	137947	-	1224		permease						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00685			137973	138362	-	390		glutamyl-tRNA amidotransferase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00690			138379	139335	-	957		carbamate kinase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00695			139328	140752	-	1425		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00700			140749	142308	-	1560		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00705			142403	143263	-	861		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00710			143269	143937	-	669		cysteine hydrolase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00715			144068	144163	+	96		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00720			144194	145003	-	810		carboxymethylenebutenolidase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00725			145265	146029	+	765		uridine phosphorylase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00730			146063	147553	-	1491		C4-dicarboxylate ABC transporter permease						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00735			147566	148072	-	507		permease						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00740			148089	149063	-	975		ABC transporter substrate-binding protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00745			149088	149717	-	630		2-dehydro-3-deoxy-6-phosphogalactonate aldolase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00750			149707	150711	-	1005		carbohydrate kinase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00755			150735	151502	-	768		transcriptional regulator						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00760			151719	153146	+	1428		recombinase RmuC						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00765			153241	153996	+	756	ubiE	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00770			154010	154615	+	606		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00775			154612	156252	+	1641	ubiB	ubiquinone biosynthesis regulatory protein kinase UbiB						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00780			156331	156600	+	270	tatA	preprotein translocase subunit SecA						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00785			156604	157119	+	516		preprotein translocase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00790			157122	157898	+	777		twin-arginine protein translocation system subunit TatC						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00795			157940	158722	+	783		hydrolase TatD						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00800			158719	159207	-	489	rfaH	transcriptional regulator						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00805			159374	160867	+	1494		3-octaprenyl-4-hydroxybenzoate decarboxylase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00810			160913	161614	+	702	fre	NAD(P)H-flavin reductase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00815			161897	163060	-	1164	fadA	3-ketoacyl-CoA thiolase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00820			163070	165259	-	2190	fadB	multifunctional fatty acid oxidation complex subunit alpha						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00825			165449	166780	+	1332		Xaa-Pro dipeptidase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00830			166780	167394	+	615		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00835			167433	168884	+	1452		potassium transporter						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00840			168896	169441	+	546	hemG	protoporphyrinogen oxidase						
37762.5	Escherichia coli B	CP014268	RefSeq	rRNA		C2566_00845			169817	171372	+	1556		16S ribosomal RNA						
37762.5	Escherichia coli B	CP014268	RefSeq	tRNA		C2566_00850			171429	171505	+	77		tRNA-Ile						
37762.5	Escherichia coli B	CP014268	RefSeq	tRNA		C2566_00855			171548	171623	+	76		tRNA-Ala						
37762.5	Escherichia coli B	CP014268	RefSeq	rRNA		C2566_00860			171798	174722	+	2925		23S ribosomal RNA						
37762.5	Escherichia coli B	CP014268	RefSeq	rRNA		C2566_00865			174899	175014	+	116	rrf	5S ribosomal RNA						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00870			175118	175645	-	528		molybdopterin-guanine dinucleotide biosynthesis protein MobB						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00875			175627	176211	-	585	mobA	molybdenum cofactor guanylyltransferase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00880			176281	176550	+	270		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00885			176627	177613	+	987		serine/threonine protein kinase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00890			177630	178256	+	627		protein disulfide isomerase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00895			178411	179841	+	1431		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00900			179882	180814	-	933		acyltransferase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00905			180934	181176	-	243		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00910			181178	183964	+	2787		DNA polymerase I						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00915			184345	184977	-	633		YihA family ribosome biogenesis GTP-binding protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00920			185559	186068	+	510		GTPase activator						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00925			186257	187630	+	1374		coproporphyrinogen III oxidase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00930			187820	187930	-	111		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00935			188042	189451	-	1410	glnG	nitrogen regulation protein NR(I)						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00940			189463	190512	-	1050	glnL	PAS domain-containing sensor histidine kinase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00945			190798	192207	-	1410	glnA	glutamine synthetase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00950			192186	192419	-	234		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00955			192580	194403	+	1824		GTP-binding protein TypA						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00960			194620	195330	+	711		GntR family transcriptional regulator						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00965			195338	196318	+	981		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00970			196420	197685	+	1266		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00975			197776	198468	-	693	ompL	porin						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00980			198535	199938	-	1404		sugar transporter						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00985			199978	201363	-	1386		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00990			201409	203412	-	2004		alpha-glucosidase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00995			203537	204439	-	903		aldose epimerase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01000			204577	205818	-	1242		sugar isomerase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01005			205835	206713	-	879		aldolase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01010			206737	207633	-	897		gamma-hydroxybutyrate dehydrogenase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01015			207801	208697	+	897		sugar kinase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01020			208731	209516	+	786		DeoR family transcriptional regulator						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01025			209615	210214	+	600		alpha-D-glucose-1-phosphatase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01030			210208	211080	+	873		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01035			211077	211514	+	438		D-tyrosyl-tRNA(Tyr) deacylase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01040			211559	212500	+	942		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01045			213353	213571	+	219		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01050			213789	214031	+	243		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01055			214047	214196	-	150		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01060			214361	215290	-	930		formate dehydrogenase accessory protein FdhE						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01065			215287	215922	-	636		formate dehydrogenase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01070			215919	216821	-	903		formate dehydrogenase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01075			216834	219248	-	2415		formate dehydrogenase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01080			219297	219884	-	588		sulfate ABC transporter substrate-binding protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01085			220078	220911	+	834		sufurtransferase FdhD						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01090			221064	222119	+	1056		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01095			222169	223917	-	1749		transcriptional regulator						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01100			223917	224987	-	1071		peptidase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01105			224977	226428	-	1452		PTS subunit IIBC						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_01110			226439	226885	-	447		PTS fructose transporter subunit IIA						
